Folder, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
san_fernando,77, -,1,1.638,5.8,7.3,8.9,San Fernando,1971,Pacoima Dam (upper left abut),6.61, Reverse,0,1.81,2016.13,0.0875,1, RSN77_SFERN_PUL164.AT2, RSN77_SFERN_PUL254.AT2 , RSN77_SFERN_PULDWN.AT2  
tabas_nf,143, -,1,6.188,8.3,16.5,11.8,Tabas_ Iran,1978,Tabas,7.35, Reverse,1.79,2.05,766.77,0.125,1, RSN143_TABAS_TAB-L1.AT2, RSN143_TABAS_TAB-T1.AT2 , RSN143_TABAS_TAB-V1.AT2  
landers_nf,879, -,1,5.124,8.4,13.8,7,Landers,1992,Lucerne,7.28, strike slip,2.19,2.19,1369,0,1, RSN879_LANDERS_LCN260.AT2, RSN879_LANDERS_LCN345.AT2 , RSN879_LANDERS_LCN-UP.AT2  
northridge_1050,1050, -,1,0.588,2,4.3,0.9,Northridge-01,1994,Pacoima Dam (downstr),6.69, Reverse,4.92,7.01,2016.13,0.16,1, RSN1050_NORTHR_PAC175.AT2, RSN1050_NORTHR_PAC265.AT2 , RSN1050_NORTHR_PAC-UP.AT2  
northridge_1051,1051, -,1,0.84,3.8,6,8.7,Northridge-01,1994,Pacoima Dam (upper left),6.69, Reverse,4.92,7.01,2016.13,0.16,1, RSN1051_NORTHR_PUL104.AT2, RSN1051_NORTHR_PUL194.AT2 , RSN1051_NORTHR_PUL-UP.AT2  
kocaeli_geb_nf,1161, -,1,5.992,5.8,8.2,0.5,Kocaeli_ Turkey,1999,Gebze,7.51, strike slip,7.57,10.92,792,0.1,1, RSN1161_KOCAELI_GBZ000.AT2, RSN1161_KOCAELI_GBZ270.AT2 , RSN1161_KOCAELI_GBZ-UP.AT2  
kocaeli_iz_nf,1165, -,1,5.369,8.2,15.1,0.8,Kocaeli_ Turkey,1999,Izmit,7.51, strike slip,3.62,7.21,811,0.125,1, RSN1165_KOCAELI_IZT180.AT2, RSN1165_KOCAELI_IZT090.AT2 , RSN1165_KOCAELI_IZT-UP.AT2  
loma_prieta_nf,3548, -,1,1.568,2.1,4.3,1.9,Loma Prieta,1989,Los Gatos - Lexington Dam,6.93, Reverse Oblique,3.22,5.02,1070.34,0.1,1, RSN3548_LOMAP_LEX000.AT2, RSN3548_LOMAP_LEX090.AT2 , RSN3548_LOMAP_LEX-UP.AT2  
cape_mendocino,3744, -,1,5.362,3.6,13.4,0.6,Cape Mendocino,1992,Bunker Hill FAA,7.01, Reverse,8.49,12.24,566.42,0,1, RSN3744_CAPEMEND_BNH270.AT2, RSN3744_CAPEMEND_BNH360.AT2 , RSN3744_CAPEMEND_BNH-UP.AT2  
l_aquila,4483, -,1,1.981,5,11.6,1.2,L'Aquila_ Italy,2009,L'Aquila - Parking,6.3, Normal,0,5.38,717,0.025,1, RSN4483_L-AQUILA_AM043XTE.AT2, RSN4483_L-AQUILA_AM043YLN.AT2 , RSN4483_L-AQUILA_AM043ZUP.AT2  
